ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
xˤʰ,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ʕ̤ˠ,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ħʲʷʰ,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʕ̤ʷ,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ħʷʰː,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,+,-,-,
ʂʷˤʰ,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ʃʷˤʰ,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
sʷˤʰ,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
s̪ʷˤʰ,-,-,+,+,-,-,-,-,-,+,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
fʷˤʰ,-,-,+,+,-,-,-,+,-,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ɸʷˤʰ,-,-,+,+,-,-,-,-,-,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ʁ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ʁ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ʐ̃,-,-,+,+,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʐ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ʒ̃,-,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
ʒ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
z̃,-,-,+,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
z̃ː,-,-,+,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
z̪̃,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
z̪̃ː,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
ṽ,-,-,+,+,-,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
β̃,-,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ṽː,-,-,+,+,-,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
β̃ː,-,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʁ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ʕ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ʐ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ʒ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
z̃ˤ,-,-,+,+,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
z̪̃ˤ,-,-,+,+,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
ṽˤ,-,-,+,+,-,-,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
β̃ˤ,-,-,+,+,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʝ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ʝ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɣ̃,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɣ̃ː,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ɣ̃ˤ,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ʁ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ʐ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʒ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
z̰̃,-,-,+,+,-,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
z̪̰̃,-,-,+,+,-,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
ṽ̰,-,-,+,+,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
β̰̃,-,-,+,+,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ʕ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ʝ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɣ̰̃,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɧ̺,-,-,+,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɕ̺,-,-,+,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ʑ̺,-,-,+,+,+,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɧ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɧː,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɕ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ʑ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɕː,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ʑː,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɕᶣ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,
ʑᶣ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,
ɧˠ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
ʑˠ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
ɧːˠ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,+,-,-,
ʑːˠ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,+,-,-,-,-,+,-,-,
ɧʷˠ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ʑʷˠ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɧʷː,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,
ʑʷː,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,
ɧˤ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ʑˤ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɧːˤ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,+,-,-,
ʑːˤ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,+,-,-,
ɧʷˤ,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
ʑʷˤ,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɧˀ,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɧʼː,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɧʼʲ,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ʑ̰,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɕʼː,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ʑ̰ː,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ʑ̰ˠ,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
ɧʼʷ,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ʑʷˀ,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɧˤʼ,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ʑ̰ˤ,-,-,+,+,+,-,-,-,+,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɧʷˤʼ,-,-,+,+,+,-,-,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɧʰ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɧʰː,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɧʰʲ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ʑ̤,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɕʰː,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ʑ̤ː,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɧʰᶣ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,
ɧʰˠ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
ʑ̤ˠ,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
ɧʲʷʰ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ʑ̤ʷ,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɧʷʰː,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,
ɕˤʰ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ʑ̤ˤ,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɧʷˤʰ,-,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɮ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɮː,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɮ̻,-,-,+,+,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
ɬ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɬː,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɬ̪,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
ɬ̪ː,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
ɮˤ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɮːˤ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,
ɬˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɬːˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
ɬ̪ˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
ɬ̪ːˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,-,
ɮʲ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɮːʲ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,
ɮᶣ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɮˠ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɮːˠ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,-,
ɮʷˠ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɮʷː,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɬʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɬːʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
ɬᶣ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɬˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɬːˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
ɬʷˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɬʷː,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɬ̪ʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɬ̪ːʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɬ̪ᶣ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
ɬ̪ˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
ɬ̪ːˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,+,-,-,
ɬ̪ʷˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɬ̪ʷː,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
ɮʷˤ,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɬʷˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɬ̪ʷˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɮ̰,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɮ̰ː,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɬˀ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɬʼː,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɬ̪ˀ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
ɬ̪ʼː,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
ɮ̰ˤ,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɬˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɬ̪ˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
ɮ̰ʲ,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɮ̰ˠ,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɮʷˀ,-,-,+,+,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɬʼʲ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɬʼʷ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɬ̪ʼʲ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɬ̪ʼʷ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɬʷˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɬ̪ʷˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
ɮ̤,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɮ̤ː,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɬʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɬʰː,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɬ̪ʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
ɬ̪ʰː,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
ɮ̤ˤ,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɬʰˤ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɬ̪ˤʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
ɮ̤ʲ,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɮ̤ˠ,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɮ̤ʷ,-,-,+,+,+,+,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɬʰʲ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɬʰᶣ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɬʰˠ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɬʲʷʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɬʷʰː,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɬ̪ʰʲ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɬ̪ʰᶣ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
ɬ̪ʰˠ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
ɬ̪ʲʷʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɬ̪ʷʰː,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
ɬʷˤʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɬ̪ʷˤʰ,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
ʑ̃,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ʑ̃ː,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ʑ̃ˤ,-,-,+,+,+,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ʑ̰̃,-,-,+,+,+,-,+,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɮ̃,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɮ̃ː,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɮ̃ˤ,-,-,+,+,+,+,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɮ̰̃,-,-,+,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʔ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ʔː,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,
ʔːˤ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ʔʲ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ʔːʲ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ʔᶣ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
ʔˠ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ʔːˠ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ʔʷˠ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ʔʷː,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ʔʷˤ,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɱ̥,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɱ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɱ̥ː,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɱː,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɱ̥ˤ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɱˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɱːˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
ɱ̥ʲ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɱʲ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɱːʲ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
ɱ̥ˠ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ɱˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ɱːˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
ɱ̥ʷ,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɱʷˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɱʷː,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
ɱʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ɱ̰,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɱ̰ː,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɱ̰ˤ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɱ̰ʲ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɱ̰ˠ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ɱʷˀ,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɱ̤̥,-,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɱ̤,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɱ̤ː,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ɱ̤ˤ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɱ̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɱ̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ɱ̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɴ̥,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɴ,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɴ̥ː,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɴː,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
